time,core1,core2,core3,core4
000211,000002,000001,000000,000001
000212,000001,000000,000001,000000
000213,000000,000000,000001,000000
000214,000002,000000,000000,000000
000215,000002,000000,000001,000002
000216,000001,000000,000004,000001
000217,000003,000000,000003,000002
000218,000004,000000,000004,000000
000219,000002,000001,000001,000000
000220,000003,000000,000000,000000
000221,000002,000000,000001,000000
000222,000002,000000,000000,000000
000223,000000,000001,000001,000000
000224,000000,000001,000002,000001
000225,000001,000000,000000,000001
000226,000002,000000,000001,000000
000227,000001,000000,000006,000000
000228,000004,000000,000004,000000
000229,000003,000001,000000,000000
000230,000002,000000,000001,000000
000231,000002,000001,000005,000000
000232,000002,000000,000000,000000
000233,000000,000000,000001,000000
000234,000000,000000,000000,000000
000235,000001,000000,000000,000000
000236,000002,000000,000000,000000
000237,000001,000000,000001,000000
000238,000000,000000,000001,000000
000239,000002,000000,000000,000000
000240,000000,000000,000000,000000
000241,000002,000000,000001,000000
000242,000003,000000,000000,000000
000243,000000,000000,000003,000000
000244,000001,000000,000000,000000
000245,000001,000000,000002,000000
000246,000001,000000,000000,000000
000247,000002,000000,000000,000000
000248,000001,000000,000001,000000
000249,000002,000000,000001,000000
000250,000000,000001,000001,000000
000251,000001,000001,000000,000000
000252,000000,000000,000001,000001
000253,000000,000001,000000,000000
000254,000000,000000,000002,000000
000255,000001,000000,000000,000000
000256,000001,000000,000000,000000
000257,000000,000000,000000,000000
000258,000000,000001,000000,000000
000259,000000,000001,000001,000000
000260,000000,000000,000000,000000
000261,000000,000000,000000,000001
000262,000000,000000,000000,000000
000263,000000,000000,000001,000001
000264,000000,000002,000000,000000
000265,000000,000000,000000,000000
000266,000000,000000,000001,000000
000267,000000,000001,000000,000000
000268,000000,000000,000001,000000
000269,000001,000000,000001,000001
000270,000000,000000,000001,000000
000271,000001,000001,000000,000001
000272,000000,000001,000000,000000
000273,000001,000000,000000,000000
000274,000000,000000,000000,000000
000275,000001,000000,000000,000000
000276,000000,000000,000000,000000
000277,000001,000000,000000,000000
000278,000000,000000,000001,000000
000279,000001,000000,000002,000000
000280,000000,000000,000001,000000
000281,000000,000000,000000,000000
000282,000001,000000,000001,000000
000283,000001,000000,000000,000000
000284,000000,000000,000000,000000
000285,000000,000000,000000,000000
000286,000000,000000,000000,000000
000287,000001,000000,000000,000000
000288,000000,000000,000000,000000
